location,date,total_cases,total_vaccinations
Denmark,2021-05-26,277011.0,3199442.0
Djibouti,2021-06-23,11597.0,26796.0
Dominica,2021-06-25,192.0,39309.0
Dominican Republic,2021-06-27,322778.0,7583057.0
Ecuador,2021-06-27,454336.0,4024007.0
Egypt,2021-06-27,280394.0,4253397.0
El Salvador,2021-06-25,77484.0,2674605.0
Equatorial Guinea,2021-06-25,8712.0,260528.0
Estonia,2021-06-28,130983.0,938760.0
Eswatini,2021-06-26,19018.0,47623.0
Ethiopia,2021-06-27,275935.0,1989297.0
European Union,2021-06-28,32698789.0,353860451.0
Faeroe Islands,2021-06-28,0.0,46874.0
Falkland Islands,2021-04-14,0.0,4407.0
Fiji,2021-06-21,2090.0,274008.0
Finland,2021-06-28,95168.0,4213157.0
France,2021-06-27,5831972.0,52474306.0
French Polynesia,2021-06-21,0.0,125484.0
Gabon,2021-06-23,24958.0,49346.0
Gambia,2021-06-23,6045.0,41077.0
Georgia,2021-06-28,363874.0,349477.0
Germany,2021-06-28,3734830.0,72806699.0
Ghana,2021-06-20,94913.0,1232876.0
Gibraltar,2021-06-24,0.0,78047.0
Greece,2021-06-28,421266.0,8202338.0
Greenland,2021-06-28,0.0,35751.0
Grenada,2021-06-25,161.0,31494.0
Guatemala,2021-06-27,291595.0,922560.0
Guernsey,2021-06-25,0.0,79028.0
Guinea,2021-06-23,23579.0,531142.0
Guinea-Bissau,2021-06-28,3846.0,22883.0
Guyana,2021-06-25,19674.0,335091.0
Honduras,2021-06-24,256818.0,684035.0
Hong Kong,2021-06-28,11920.0,3612978.0
Hungary,2021-06-20,807428.0,9839749.0
Iceland,2021-06-25,6555.0,386715.0
India,2021-06-28,30316897.0,321423578.0
Indonesia,2021-06-28,2135998.0,40601932.0
Iran,2021-06-21,3105620.0,4968642.0
Iraq,2021-06-20,1287465.0,805363.0
Ireland,2021-06-20,269037.0,3679531.0
Isle of Man,2021-06-28,0.0,104254.0
Israel,2021-06-28,841196.0,10729216.0
Italy,2021-06-28,4258456.0,50452251.0
Jamaica,2021-06-25,49909.0,249983.0
Japan,2021-06-28,797084.0,41836154.0
Jersey,2021-06-23,0.0,121209.0
Jordan,2021-06-28,750389.0,3617998.0
Kazakhstan,2021-06-28,478063.0,5070217.0
Kenya,2021-06-28,182884.0,1293004.0
Kosovo,2021-06-20,107192.0,133868.0
Kuwait,2021-06-20,339032.0,3100000.0
Kyrgyzstan,2021-06-23,117284.0,173700.0
Laos,2021-06-28,2110.0,1416267.0
Latvia,2021-06-28,137240.0,1115215.0
Lebanon,2021-06-28,544520.0,1285387.0
Lesotho,2021-05-21,10806.0,36759.0
Liberia,2021-06-28,3794.0,82212.0
Libya,2021-06-23,191476.0,370066.0
Liechtenstein,2021-06-27,3032.0,31353.0
Lithuania,2021-06-28,278689.0,2235582.0
Luxembourg,2021-06-28,70642.0,527596.0
Macao,2021-06-28,0.0,329495.0
Madagascar,2021-06-28,42194.0,197001.0
Malawi,2021-06-28,35709.0,428407.0
Malaysia,2021-06-28,739266.0,7593179.0
Maldives,2021-06-27,73327.0,505285.0
Mali,2021-06-24,14396.0,179634.0
Malta,2021-06-28,30612.0,659488.0
Mauritania,2021-06-23,20473.0,142362.0
Mauritius,2021-06-24,1779.0,706948.0
Mexico,2021-06-27,2505792.0,43912990.0
Moldova,2021-06-28,256614.0,696911.0
Monaco,2021-06-24,2562.0,36609.0
Mongolia,2021-06-28,111505.0,3720002.0
Montenegro,2021-06-28,100204.0,286327.0
Montserrat,2021-06-25,0.0,2640.0
Morocco,2021-06-28,529895.0,18862912.0
Mozambique,2021-06-24,73652.0,438382.0
Myanmar,2021-05-13,143004.0,2994900.0
Namibia,2021-06-26,83698.0,141164.0
Nauru,2021-06-21,0.0,7486.0
Nepal,2021-06-28,635188.0,3339983.0
Netherlands,2021-06-27,1710973.0,14323814.0
New Caledonia,2021-06-21,0.0,104683.0
New Zealand,2021-06-22,2724.0,1019364.0
Nicaragua,2021-05-21,7193.0,167500.0
Niger,2021-06-24,5475.0,255587.0
Nigeria,2021-06-24,167401.0,3104802.0
North Macedonia,2021-06-26,155669.0,510351.0
Northern Cyprus,2021-05-27,0.0,129743.0
Norway,2021-06-28,130744.0,4039445.0
Oman,2021-06-28,264302.0,1064804.0
Pakistan,2021-06-23,951865.0,13484364.0
Palestine,2021-06-28,313851.0,841569.0
Panama,2021-06-28,401332.0,1518049.0
Papua New Guinea,2021-06-21,17013.0,44327.0
Paraguay,2021-06-24,413457.0,615602.0
Peru,2021-06-27,2046057.0,7157087.0
Philippines,2021-06-27,1397992.0,10065414.0
Pitcairn,2021-06-21,0.0,47.0
Poland,2021-06-28,2879689.0,28601320.0
Portugal,2021-06-28,875449.0,8257211.0
Qatar,2021-06-28,221810.0,3075375.0
Romania,2021-06-28,1080667.0,8916725.0
Russia,2021-06-28,5408744.0,38773378.0
Rwanda,2021-06-06,27245.0,578569.0
Saint Helena,2021-05-05,0.0,7892.0
Saint Kitts and Nevis,2021-06-22,377.0,38006.0
Saint Lucia,2021-06-27,5278.0,52355.0
Saint Vincent and the Grenadines,2021-06-26,2218.0,24667.0
Samoa,2021-06-21,3.0,45178.0
San Marino,2021-06-25,5090.0,44430.0
Sao Tome and Principe,2021-06-28,2365.0,27986.0
Saudi Arabia,2021-06-28,484539.0,17487842.0
Senegal,2021-06-28,42929.0,664826.0
Serbia,2021-06-20,715753.0,5146241.0
Seychelles,2021-06-24,14620.0,137976.0
Sierra Leone,2021-06-20,4816.0,97315.0
Singapore,2021-06-21,62430.0,5029006.0
Sint Maarten (Dutch part),2021-06-25,0.0,38290.0
Slovakia,2021-06-28,391566.0,3536420.0
Slovenia,2021-06-28,257252.0,1466816.0
Solomon Islands,2021-06-21,20.0,21469.0
Somalia,2021-06-28,14933.0,204176.0
South Africa,2021-06-28,1941119.0,2787996.0
South Korea,2021-06-28,156167.0,18935546.0
South Sudan,2021-06-28,10824.0,44920.0
Spain,2021-06-27,3782463.0,39914204.0
Sri Lanka,2021-06-28,255508.0,3506077.0
Sudan,2021-06-28,36620.0,671423.0
Suriname,2021-06-28,21360.0,192975.0
Sweden,2021-06-24,1088896.0,7229002.0
Switzerland,2021-06-27,702507.0,7236625.0
Syria,2021-06-21,25158.0,108276.0
Taiwan,2021-06-28,14694.0,1964592.0
Tajikistan,2021-06-20,13308.0,132075.0
Thailand,2021-06-28,249853.0,9416972.0
Timor,2021-06-22,8781.0,189266.0
Togo,2021-06-10,13576.0,347246.0
Tonga,2021-06-21,0.0,28667.0
Trinidad and Tobago,2021-06-28,32343.0,284016.0
Tunisia,2021-06-27,407017.0,1765231.0
Turkey,2021-06-28,5414310.0,48938717.0
Turkmenistan,2021-04-04,0.0,41993.0
Turks and Caicos Islands,2021-06-18,0.0,38110.0
Tuvalu,2021-06-15,0.0,4772.0
Uganda,2021-06-26,77505.0,854232.0
Ukraine,2021-06-28,2298478.0,2501831.0
United Arab Emirates,2021-06-28,628976.0,15111234.0
United Kingdom,2021-06-27,4748644.0,77038257.0
United States,2021-06-28,33640502.0,324414371.0
Uruguay,2021-06-27,365866.0,3775270.0
Uzbekistan,2021-06-15,104113.0,2695058.0
Vanuatu,2021-06-21,4.0,7462.0
Venezuela,2021-06-25,266952.0,1466988.0
Vietnam,2021-06-28,16136.0,3497104.0
Wallis and Futuna,2021-06-21,0.0,8834.0
Yemen,2021-06-27,6908.0,268753.0
Zambia,2021-06-27,148568.0,151205.0
Zimbabwe,2021-06-27,46442.0,1275259.0
